,Unnamed: 0,object_id,MergedDegree
367,367,p:8276,"1,0,0,0,0"
368,368,p:8256,"1,0,0,0,0"
369,369,p:8256,"0,1,0,0,0"
370,370,p:8290,"1,0,0,0,0"
371,371,p:8290,"0,1,0,0,0"
372,372,p:2550,"1,0,0,0,0"
373,373,p:8291,"1,0,0,0,0"
374,374,p:8318,"1,0,0,0,0"
375,375,p:6179,"1,0,0,0,0"
376,376,p:8406,"1,0,0,0,0"
377,377,p:8446,"1,0,0,0,0"
378,378,p:8446,"0,1,0,0,0"
379,379,p:8452,"1,0,0,0,0"
380,380,p:699,"1,0,0,0,0"
381,381,p:8466,"1,0,0,0,0"
382,382,p:8470,"0,1,0,0,0"
383,383,p:8470,"0,1,0,0,0"
384,384,p:1112,"1,0,0,0,0"
385,385,p:1112,"0,1,0,0,0"
386,386,p:1112,"0,1,0,0,0"
387,387,p:8139,"1,0,0,0,0"
388,388,p:8492,"1,0,0,0,0"
389,389,p:8503,"0,1,0,0,0"
390,390,p:1442,"1,0,0,0,0"
391,391,p:3971,"1,0,0,0,0"
392,392,p:2175,"0,0,0,0,1"
393,393,p:8539,"0,0,0,0,1"
394,394,p:8539,"1,0,0,0,0"
395,395,p:8208,"0,1,0,0,0"
396,396,p:8208,"0,0,0,0,1"
397,397,p:7410,"0,1,0,0,0"
398,398,p:8564,"1,0,0,0,0"
399,399,p:8564,"0,0,0,0,1"
400,400,p:8224,"1,0,0,0,0"
401,401,p:8586,"1,0,0,0,0"
402,402,p:8588,"1,0,0,0,0"
403,403,p:8589,"0,1,0,0,0"
404,404,p:8593,"1,0,0,0,0"
405,405,p:8593,"0,1,0,0,0"
406,406,p:8608,"1,0,0,0,0"
407,407,p:8609,"1,0,0,0,0"
408,408,p:8609,"0,1,0,0,0"
409,409,p:8610,"1,0,0,0,0"
410,410,p:5810,"1,0,0,0,0"
411,411,p:1336,"1,0,0,0,0"
412,412,p:1336,"0,1,0,0,0"
413,413,p:8611,"1,0,0,0,0"
414,414,p:5331,"1,0,0,0,0"
415,415,p:5672,"1,0,0,0,0"
416,416,p:8633,"0,0,1,0,0"
417,417,p:8073,"1,0,0,0,0"
418,418,p:4060,"0,1,0,0,0"
419,419,p:787,"1,0,0,0,0"
420,420,p:787,"0,1,0,0,0"
421,421,p:8669,"1,0,0,0,0"
422,422,p:1633,"0,1,0,0,0"
423,423,p:1634,"0,1,0,0,0"
424,424,p:1634,"1,0,0,0,0"
425,425,p:1637,"1,0,0,0,0"
426,426,p:1637,"0,1,0,0,0"
427,427,p:1637,"0,0,0,0,1"
428,428,p:1638,"0,0,0,0,1"
429,429,p:1639,"1,0,0,0,0"
430,430,p:1639,"0,1,0,0,0"
431,431,p:2918,"0,1,0,0,0"
432,432,p:2918,"1,0,0,0,0"
433,433,p:1750,"0,1,0,0,0"
434,434,p:8682,"1,0,0,0,0"
435,435,p:5751,"1,0,0,0,0"
436,436,p:8647,"1,0,0,0,0"
437,437,p:8837,"0,1,0,0,0"
438,438,p:5154,"0,1,0,0,0"
439,439,p:5154,"1,0,0,0,0"
440,440,p:3262,"1,0,0,0,0"
441,441,p:3262,"1,0,0,0,0"
442,442,p:3790,"1,0,0,0,0"
443,443,p:3790,"0,1,0,0,0"
444,444,p:3261,"1,0,0,0,0"
445,445,p:8893,"0,1,0,0,0"
446,446,p:8893,"1,0,0,0,0"
447,447,p:8894,"1,0,0,0,0"
448,448,p:8894,"0,1,0,0,0"
449,449,p:8895,"1,0,0,0,0"
450,450,p:8895,"0,1,0,0,0"
451,451,p:8896,"0,1,0,0,0"
452,452,p:8902,"1,0,0,0,0"
453,453,p:8902,"0,1,0,0,0"
454,454,p:8907,"1,0,0,0,0"
455,455,p:8907,"0,1,0,0,0"
456,456,p:8908,"1,0,0,0,0"
457,457,p:8908,"0,1,0,0,0"
458,458,p:8909,"0,1,0,0,0"
459,459,p:8909,"0,1,0,0,0"
460,460,p:8910,"1,0,0,0,0"
461,461,p:8910,"0,0,0,0,1"
462,462,p:8911,"1,0,0,0,0"
463,463,p:5552,"1,0,0,0,0"
464,464,p:178,"1,0,0,0,0"
465,465,p:178,"0,1,0,0,0"
466,466,p:5550,"0,0,0,0,1"
467,467,p:2461,"1,0,0,0,0"
468,468,p:8974,"0,1,0,0,0"
469,469,p:8974,"1,0,0,0,0"
470,470,p:8973,"1,0,0,0,0"
471,471,p:8989,"1,0,0,0,0"
472,472,p:8848,"0,0,1,0,0"
473,473,p:9000,"1,0,0,0,0"
474,474,p:9020,"1,0,0,0,0"
475,475,p:6242,"0,1,0,0,0"
476,476,p:6242,"1,0,0,0,0"
477,477,p:9050,"1,0,0,0,0"
478,478,p:9051,"1,0,0,0,0"
479,479,p:767,"1,0,0,0,0"
480,480,p:767,"0,1,0,0,0"
481,481,p:769,"1,0,0,0,0"
482,482,p:769,"0,1,0,0,0"
483,483,p:766,"1,0,0,0,0"
484,484,p:4010,"0,1,0,0,0"
485,485,p:4010,"0,1,0,0,0"
486,486,p:5146,"1,0,0,0,0"
487,487,p:212,"0,1,0,0,0"
488,488,p:212,"1,0,0,0,0"
489,489,p:5145,"1,0,0,0,0"
490,490,p:203,"1,0,0,0,0"
491,491,p:298,"1,0,0,0,0"
492,492,p:298,"0,1,0,0,0"
493,493,p:9229,"1,0,0,0,0"
494,494,p:904,"1,0,0,0,0"
495,495,p:904,"0,0,0,0,1"
496,496,p:2726,"1,0,0,0,0"
497,497,p:9259,"0,1,0,0,0"
498,498,p:9259,"0,1,0,0,0"
499,499,p:9260,"0,1,0,0,0"
500,500,p:9260,"1,0,0,0,0"
501,501,p:9262,"1,0,0,0,0"
502,502,p:9262,"0,1,0,0,0"
503,503,p:8424,"0,1,0,0,0"
504,504,p:9265,"0,1,0,0,0"
505,505,p:9265,"0,1,0,0,0"
506,506,p:9268,"1,0,0,0,0"
507,507,p:9268,"0,1,0,0,0"
508,508,p:1072,"0,1,0,0,0"
509,509,p:1072,"1,0,0,0,0"
510,510,p:1073,"0,1,0,0,0"
511,511,p:9270,"1,0,0,0,0"
512,512,p:9270,"1,0,0,0,0"
513,513,p:9272,"1,0,0,0,0"
514,514,p:9272,"0,0,0,0,1"
515,515,p:9273,"1,0,0,0,0"
516,516,p:9273,"0,1,0,0,0"
517,517,p:9274,"0,1,0,0,0"
518,518,p:9274,"1,0,0,0,0"
519,519,p:9275,"1,0,0,0,0"
520,520,p:6061,"1,0,0,0,0"
521,521,p:9296,"1,0,0,0,0"
522,522,p:9296,"0,1,0,0,0"
523,523,p:9298,"1,0,0,0,0"
524,524,p:9298,"0,1,0,0,0"
525,525,p:7971,"1,0,0,0,0"
526,526,p:9329,"0,1,0,0,0"
527,527,p:9330,"1,0,0,0,0"
528,528,p:9330,"1,0,0,0,0"
529,529,p:9330,"0,1,0,0,0"
530,530,p:9339,"1,0,0,0,0"
531,531,p:9359,"0,1,0,0,0"
532,532,p:8298,"1,0,0,0,0"
533,533,p:9014,"1,0,0,0,0"
534,534,p:9014,"0,1,0,0,0"
